control_code,domain,title,implementation_statement,owner,status,framework_mappings,last_reviewed,next_review,confidence,notes
CC1.1,Governance,Integrity and ethical values,"Northwind maintains a code of conduct acknowledged by all employees at hire and annually. Violations are handled by HR and Security.",Head of GRC,Implemented,SOC2 CC1.1; ISO 27001 A.5.1,2025-11-01,2026-11-01,High,
CC1.4,Governance,Security organization and competence,"A dedicated Security and GRC organization reports to the CTO; roles and responsibilities are documented.",CISO,Implemented,SOC2 CC1.4; ISO 27001 A.5.2,2025-11-01,2026-11-01,High,
CC2.1,Governance,Internal communication of policies,"Security policies are published internally and reviewed at least annually; employees are notified of changes.",Head of GRC,Implemented,SOC2 CC2.1,2025-10-15,2026-10-15,High,
CC3.2,Risk,Risk assessment,"Management performs a formal risk assessment at least annually covering security, vendor, and operational risks; risks are documented and tracked to remediation.",Head of GRC,Implemented,SOC2 CC3.2; ISO 27001 Clause 6.1,2025-09-30,2026-09-30,High,
CC4.1,Monitoring,Control monitoring,"Northwind monitors the operation of controls through continuous monitoring tooling and internal audits.",CISO,Implemented,SOC2 CC4.1,2025-10-01,2026-10-01,Medium,
CC5.2,Control Activities,Technology general controls,"Logical access, change management, and operations controls are implemented across production systems.",VP Engineering,Implemented,SOC2 CC5.2,2025-10-01,2026-10-01,High,
CC6.1,Access Control,Logical access provisioning,"Access to production is role-based, approved, and granted on least-privilege. Workforce identity uses Okta SSO with mandatory MFA.",IT/Security,Implemented,SOC2 CC6.1; ISO 27001 A.8.2,2025-11-20,2026-11-20,High,
CC6.2,Access Control,Registration and authorization,"New access requires manager and system-owner approval through a ticketed workflow before provisioning.",IT/Security,Implemented,SOC2 CC6.2,2025-11-20,2026-11-20,High,
CC6.3,Access Control,Access reviews,"Privileged and production access is reviewed quarterly; identified discrepancies are remediated.",Security,Implemented,SOC2 CC6.3; ISO 27001 A.8.2,2025-12-15,2026-03-15,Medium,Q3 2025 review for one team completed late — see SOC 2 Section 4 exception CC6.3.
CC6.6,Access Control,Encryption in transit,"All external and internal service traffic is encrypted with TLS 1.2 or higher.",VP Engineering,Implemented,SOC2 CC6.6,2025-10-01,2026-10-01,High,
CC6.7,Access Control,Encryption at rest,"Customer data is encrypted at rest using AES-256 via Cloud KMS (GCP) and AWS KMS.",VP Engineering,Implemented,SOC2 CC6.7; ISO 27018,2025-10-01,2026-10-01,High,
CC6.8,Access Control,Customer-managed encryption keys,"CMEK / bring-your-own-key is not yet supported. Planned for H2 2026.",VP Engineering,Planned,SOC2 CC6.7,2025-12-01,2026-06-01,High,Honest negative — answer No on questionnaires until shipped.
CC7.1,Operations,Vulnerability detection,"Continuous vulnerability scanning runs across containers, dependencies, and infrastructure; findings are triaged by severity SLA.",Security,Implemented,SOC2 CC7.1,2025-10-10,2026-10-10,High,
CC7.2,Operations,Security monitoring,"Security events are centrally logged and monitored 24/7 with alerting to on-call security.",Security,Implemented,SOC2 CC7.2,2025-10-10,2026-10-10,High,
CC7.3,Operations,Incident evaluation,"Identified security events are evaluated against the incident response plan to determine severity and response.",CISO,Implemented,SOC2 CC7.3,2025-10-10,2026-10-10,High,
CC7.4,Operations,Incident response,"A documented incident response plan defines roles, severity levels, communications, and customer notification. The plan is tested at least annually.",CISO,Implemented,SOC2 CC7.4; ISO 27001 A.5.24,2025-08-20,2026-08-20,High,
CC8.1,Change Management,Change control,"Code and infrastructure changes follow peer review, automated testing, and approval before deployment via CI/CD.",VP Engineering,Implemented,SOC2 CC8.1,2025-10-01,2026-10-01,High,
CC9.2,Vendor,Vendor risk management,"Third parties are risk-assessed at onboarding and reviewed periodically; DPAs are required for processors handling customer data.",Head of GRC,Implemented,SOC2 CC9.2; ISO 27001 A.5.19,2025-09-15,2026-09-15,Medium,
A1.2,Availability,Capacity and backup,"Capacity is monitored; backups are performed and tested. Multi-region failover supports availability commitments.",VP Engineering,Implemented,SOC2 A1.2,2025-10-01,2026-10-01,High,
A1.3,Availability,Recovery testing,"Disaster recovery is tested at least annually against documented RTO (4h) and RPO (1h) for core services.",VP Engineering,Implemented,SOC2 A1.3,2025-07-30,2026-07-30,Medium,
C1.1,Confidentiality,Confidential data identification,"Confidential data is classified and handled per the data classification policy; customer content is treated as confidential.",Head of GRC,Implemented,SOC2 C1.1,2025-10-01,2026-10-01,High,
C1.2,Confidentiality,Confidential data disposal,"Confidential data is securely deleted at end of retention or upon customer request within 30 days.",VP Engineering,Implemented,SOC2 C1.2,2025-10-01,2026-10-01,High,
P3.2,Privacy,Consent and choice,"Privacy program aligns to ISO 27701; enterprise/API customer content is not used to train base models by default (opt-in only).",DPO,Implemented,SOC2 P3.2; ISO 27701,2025-10-01,2026-10-01,High,
P6.1,Privacy,Data subject requests,"Processes exist to support data subject and customer deletion/access requests within contractual timeframes.",DPO,Implemented,SOC2 P6.1; ISO 27701,2025-10-01,2026-10-01,Medium,
HR1.1,HR Security,Background checks,"Background checks are performed on employees where permitted by law prior to start.",HR,Implemented,ISO 27001 A.6.1,2025-09-01,2026-09-01,High,
